1/0/0, 1
11/11/10/11/11/11, 7
111111/111111/110111, 11
1000/1001/1001/1100/1011, 7
000/000/000/000/000/000/000/000/000, 0
111110100/110010101/010011101/111001011/110100101/101000110/101010111/111111111/100101010, 10
0/1/1/1/1/0/1/1, 3
00/00/00/00/00/00/00, 0
111101111/010111111/111111111/111110111, 14
1011011/1001000, 5
000111000/001001100, 2
0010001, 1
11/11/11/01, 7
000101/110101/101111/010000/000100/001111, 8
11/11/10/11/10/11, 7
111011000/101111011/111101101/111111110/110111000/011110111, 14
1111111/1111111/1111111, 12
11101/01011, 5
111111111/111111101/111111110/111111110/111111111/111101111/111111111/111111111, 16
1111101/0111110/0111110/1110001/1111011/1011111/1011111/1011111/1111111, 13
000000/000000/001000/000010/000010/000000/000000/000000/110001, 1
10/00/00/00/00, 1
111/010/111/111/111/111/011/010/111, 10
1111111/1100111/0110111, 8
111111101/110111101/111011111/111111111, 14
10/00/11/11/01, 5
0/0/0/0/0/0/1, 0
01010001, 2
011111111/111111111/111111111/111111111/111011111/111111111/111111111, 15
01/10/10/10, 4
000000001/010000000/100000110/100000100/100000111, 3
00/00/01/00/10/00/00, 1
0100, 1
11010/01110/11100/01101/00011/11100/11011, 11
1110010/1111011/1101011/1111111/1011111/0111111, 14
11111110/10111111/11011110/10011111/11111111/11101100/11111111, 12
010001011, 1
00000/00010/00000/00000/00000/00000/00000/00001, 1
0000001, 0
1/1/0/0/0/1, 2
000000000/000000000/100000000/000000000/010000000, 1
0101011/1111111, 6
11111111/11111111/11111111, 12
000000000/000000000/000000000/000000001/000000000, 0
11001/11100/01111/00110/01101/11101/11110/10111/11001, 10
000/000/000, 0
00000001/11001000/10100010, 4
111100111/111111011/111111100/111111111, 16
0101/1101/1111/1110/1011/1111/1100, 12
111/111/111/111/111, 12
010011/100001, 2
111/011/111/111/111/111, 11
0/0/0/0/1, 0
111111/111111, 8
000110011/001101111/101111111/000111110/011111101, 7
00000/00000/00000/00000/00100/00000, 0
1101110/1110110, 6
11011/00001/11101/00111/01111/00100/11011/11101, 8
010101110/110101000/100101000/110000100/001001101/110110101, 9
0000/0010/0001, 2
1/1/0/0/0/1/0/0/1, 2
